Address,Allocated
GaDZnWYk7BDpGcRiEUTevfrzi7RrMwCE1JH7wjLezhqn,"$375,000"
38srAdLu5GzUKRf5hwDsnVtdaAt6MtfiU2r5cQguEhkY,"$150,000"
CnYChDYfr5wVNiHTzDJxDoX8Ag3gmJWGf8r5Gz72NDBX,"$50,000"
7SwCJg3Ti1F8fsYDvppWo3EfcgCtSerFCRfbLiV3BEuv,"$150,000"
J4VzggqCHG9LLqsX5DTtYffsQnFUhytWHqh4bqMSayiW,"$30,000"
FFQAUxFCxrMqMavQNPiUCoNsg41vFM4wARjNg3fGi1hR,"$6,351"
GfLMDCkQrUeVFKWqKYKAMTZ99e21GsCqZDuTufx8hMQC,"$6,000"
HsFPSaFYSKvxBG7NdPDK7eWGv8ghbwsvz5saaa8wzgvk,"$4,499"
3bfWW2vhiXNUk4G5v8UFN9UWXHZ5MakX8brcYxQnXGsu,"$5,415"
6feUmDQ5SARdzd1U1Jud32Uss3h295TVGWTR8hairqiL,"$8,010"
Hwoets465Z1RbKgQVTMmFwMKfn6UdePDPpSQXajktN7T,"$22,243"
AywojPgWmn4HrCRLK4YUsfjN2BwoPrDTWsrL14EPEBEe,"$11,404"
EZDftRcPqkR9PjaCT3LNGpgZHEa2GfryR84UZJX62y82,"$15,000"
2PVJCmKTas6SrkfcfrwMVTnXLPEsnrZKP6ULg4aSTxMn,"$3,328"
HZLADZB4vQu6M6igtCLDVDu9LKaYo26sB9PTRc64dwqq,"$5,790"
434oJemprnLVmy1ixYfsDWtP4TsLH9DXBFsUFcxPfAZ3,"$5,296"
HDpjQy21uPpniDgBoYZjA5USQqerGKDzaxXNi4Yh2aCu,$300
rXkxYrreZ9yKmrbRZupDNjgXokhHyw2mYPnnisJBZwH,$243
7f8J2muhR36To55J68QGUKWCPTE1vY5TiJmrFpc8LjcU,"$8,000"
9nayrEF65yATFixifHA2XxAZk45AdnwYDi67swnJSQFH,"$6,450"
Fq4HxZiFnzvL53Hk6gZzWpyBh3TxtHEmSjhDgYyws6oN,"$5,900"
9wrEVfwcEeF2Qc1mEko2FxsnBXwR6V8fz6xrAYJdFhVY,"$5,000"
DnatMxgHq9Wyb7iD3hiStXBgM5snosctWHL13wV52LXq,"$4,980"
GUDt6UHM9GKh2qZPwujudnSj3VrsXHUoyZ8vKhF8TBQq,"$3,200"
3PPg7Jd47oQVj4GP6b8FHPo7DuKzz5HyTsYyAV8Y5FwC,"$2,938"
6eF2uG56bZHU55DEdnzqQ7w2TAK9v2cd6A16wTDWsaYK,"$2,890"
Hse4T8R3TkUCpZYEqgH4jsdonkGUJ6N28u9XHYW6yfxi,"$1,503"
DE3GhD6uXqoiwB7jM8yctTzqU8D2Au93QXexVck9b1Bo,"$1,000"
3hWdGaBp8p5t3rG6CvC9pVZEeaVWLnfaEdd4LW5ZLEMx,$975
8eUjxitHE8YfhtkdmY7uZvoUKFsSmbzwstQzfhxayfV6,$500
w3DukKr9nwkpdPXkagCFsE9aSgZBr7o5CZM8PDuALSt,$500
Hm35PSLfLJhR2Dud3EGwJvHLR8ti8gyCgbVpYc6fdqtR,$499
F3s7E4PJSJSnUGn1xpfDJe4gketmamSb4PesMYzBwJk2,$400
A4a3UXMRbhJ1BtQGmyc9J3ZWscYEwbbLKjcKCMt6Cq6i,$299
E3Uhe7x9fZdSMbXnRHB7QoeexjWrSYBgWuohzqxJkduE,$247
7MKEbCtmxfDYgFqrUgd99rtJfnFjjubbLUcePuk6bYAF,$100
3jRKUoyN8CDA4DngXV3Ym2ZfZKzCP87XVgXKtQJADMws,$50
7kHHNvFVTbf4k1Z3an7mit2NB1gRMmYetEEBX3p1rK9u,$50
HNmp9UGgrq97EcfWYCKhZ9K9xnR8QvCdD3SbSd8xwuSY,$26
ECWob6vE5DHaQbht6jjXF7JNBwk9rzGKkAWTFUH52vaW,$22
GiBJy3Aidpqa6waLJTfGJ4amCDVMhcZfpySztUXttAXg,$8
